100 200
0 1 13
1 2 13
2 3 7
3 4 20
4 5 6
5 6 8
6 7 8
7 8 5
8 9 25
9 10 3
10 11 9
11 12 24
12 13 13
13 14 17
14 15 22
15 16 23
16 17 18
17 18 3
18 19 20
19 20 16
20 21 7
21 22 14
22 23 24
23 24 20
24 25 19
25 26 7
26 27 26
27 28 29
28 29 26
29 30 12
30 31 27
31 32 13
32 33 28
33 34 22
34 35 7
35 36 5
36 37 15
37 38 22
38 39 6
39 40 28
40 41 19
41 42 11
42 43 3
43 44 23
44 45 17
45 46 22
46 47 25
47 48 3
48 49 16
49 50 11
50 51 13
51 52 2
52 53 9
53 54 18
54 55 1
55 56 14
56 57 7
57 58 12
58 59 30
59 60 18
60 61 3
61 62 15
62 63 17
63 64 29
64 65 7
65 66 20
66 67 15
67 68 2
68 69 12
69 70 5
70 71 7
71 72 30
72 73 23
73 74 6
74 75 24
75 76 26
76 77 15
77 78 20
78 79 30
79 80 6
80 81 17
81 82 22
82 83 6
83 84 2
84 85 4
85 86 1
86 87 6
87 88 16
88 89 22
89 90 27
90 91 14
91 92 3
92 93 30
93 94 14
94 95 21
95 96 3
96 97 5
97 98 10
98 99 20
0 48 43
17 66 52
25 7 82
27 56 33
69 51 98
16 45 89
60 7 17
94 91 77
99 95 20
77 52 16
12 15 19
37 22 23
52 18 27
71 40 99
63 29 33
15 46 24
86 9 65
36 1 75
6 43 28
48 51 44
51 49 54
47 68 12
23 4 48
92 51 99
56 29 40
83 28 84
92 39 14
88 92 41
27 97 92
86 91 32
49 37 57
96 10 57
53 32 9
64 37 88
41 61 69
16 32 56
37 52 85
78 20 37
48 86 87
77 79 86
91 56 25
48 43 26
44 0 86
45 88 38
24 85 86
21 81 34
84 53 96
96 90 30
52 44 85
51 0 15
64 68 26
0 66 40
86 95 22
65 56 27
33 95 95
53 59 72
67 80 80
98 80 98
77 98 37
25 94 3
13 39 10
74 4 8
53 38 48
71 80 91
75 73 38
24 96 13
22 33 59
42 16 17
57 88 90
49 53 72
91 22 47
32 26 36
59 73 90
48 23 62
73 80 61
85 21 10
68 30 59
66 1 15
42 63 10
42 83 94
0 72 88
68 35 82
1 74 41
52 33 22
17 75 7
50 4 7
43 65 30
71 96 38
20 56 8
89 99 54
29 24 15
62 21 35
35 84 47
9 71 26
99 71 23
89 45 84
68 10 96
86 14 93
19 69 12
4 97 66
82 48 22
0
